"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Ideal's",1,4.5,100.0,30.0
"Imperial Kitchen",1,4.5,250.0,27.0
"Iniya Mugil Soup",2,4.5,200.0,42.5
"Instant Food",1,4.5,100.0,36.0
"Jaatre",1,4.5,100.0,30.0
"Jai Shree Mahakal Paratha Centre",1,4.5,250.0,30.0
"Jain Basa",1,4.5,100.0,32.0
"Jalebiwala",1,4.5,300.0,32.0
"Jay Ambe Smoothies & Shakes",1,4.5,250.0,22.0
"Jay Shree Ambe Pav Bhaji Pulav Centre",1,4.5,100.0,17.0
"JJ Bakers",1,4.5,50.0,17.0
"JMB",1,4.5,200.0,19.0
"Jodhpur Sweets",1,4.5,150.0,27.0
"Joshis Food Corner",1,4.5,100.0,55.0
"Juicy Fresh",1,4.5,100.0,31.0
"Jumera Hotel",1,4.5,250.0,40.0
"Just Parathas",1,4.5,450.0,34.0
"K B Bakers",1,4.5,250.0,26.0
"Kachhi Dabeli Bread",1,4.5,50.0,21.0
"Kake Walk",1,4.5,150.0,35.0
"Kalinga Restaurant & Bar",1,4.5,50.0,41.0
"Kamdhenu's Sweets",1,4.5,200.0,37.0
"Kanhaiyakunj Restaurant",1,4.5,250.0,21.0
"Kebab Kulcha Kurries",1,4.5,150.0,40.0
"Kings Kulfi And Icecreams",1,4.5,100.0,31.0
"Kitchen Nil's",1,4.5,100.0,42.0
"Kolkata Khan Biryani",1,4.5,300.0,41.0
"Koneeza",1,4.5,100.0,42.0
"Kookie Jar",1,4.5,100.0,31.0
"Krishna Dairy & Parlour",1,4.5,100.0,13.0
"Krithigaa's Raghuram Snacks",1,4.5,150.0,25.0
"KSP - King S Pizza",1,4.5,300.0,46.0
"Kuldeep Mini Restaurant",1,4.5,100.0,28.0
"Kulfi Treat",1,4.5,100.0,47.0
"Kulfistan",1,4.5,100.0,34.0
"Kunafa World",2,4.5,200.0,40.0
"Kunj Bihari Bhojnalaya",1,4.5,200.0,32.0
"Kunjilal Sweets & Namkeen",1,4.5,250.0,17.0
"Kwality Walls Frozen Dessert and Ice Cream Shop",3,4.5,150.0,23.0
"Lakshmi Sweets",1,4.5,100.0,16.0
"Lassi Club",1,4.5,200.0,22.0
"Laxman's",1,4.5,100.0,28.0
"Laxmi",1,4.5,100.0,13.0
"Natural Ice Creams",1,4.5,350.0,24.0
"Natural Icecream",1,4.5,200.0,11.0
"Naturals Just Sundaes",1,4.5,100.0,33.0
"Nausheen Fruit Juice Centre",1,4.5,200.0,25.0
"Nav Bharat Bakery & Store",1,4.5,200.0,16.0
"New Bera Samosa House",1,4.5,200.0,29.0
"New Bhawnagri Farsan",1,4.5,150.0,19.0
"New Chotey Lal Misthan Bhandar",1,4.5,400.0,29.0
"New Metro Restaurant",1,4.5,150.0,27.0
"New Parkash Icecream",1,4.5,100.0,16.0
"New Poona Boarding House",1,4.5,150.0,35.0
"Nosher's",1,4.5,300.0,51.0
"Nukkad Cafe",1,4.5,150.0,23.0
"O4H - Order For Health",1,4.5,200.0,47.0
"Oasis",1,4.5,100.0,48.0
"Om Kitchen",1,4.5,200.0,30.0
"Orchid",1,4.5,400.0,37.0
"O'Street",1,4.5,250.0,50.0
"Ottoman's Baklava",1,4.5,150.0,42.0
"O'ven'ture",2,4.5,150.0,25.5
"Paan House",1,4.5,200.0,33.0
"Paan World Cafe",1,4.5,200.0,35.0
"Pabbas",1,4.5,200.0,42.0
"Pabba's Ideal Cafe",1,4.5,200.0,29.0
"Pabrai's Fresh & Naturelle",1,4.5,200.0,26.0
"Pahwa Refreshments",1,4.5,100.0,11.0
"Pankaj Dairy",1,4.5,150.0,27.0
"Paras Pan House",1,4.5,200.0,20.0
"Paratha Varatha",1,4.5,100.0,38.0
"Parsilicious By Dilshad Karande",1,4.5,200.0,51.0
"Patisserie Operaa",1,4.5,150.0,40.0
"Paul's Creamery",1,4.5,150.0,24.0
"Perambur Sri Srinivasa",1,4.5,200.0,42.0
"Peshawar Sweet Bhandar",1,4.5,600.0,20.0
"Petit Paris",1,4.5,50.0,27.0
"Plateaus Juice Bar",1,4.5,100.0,23.0
"Pradeep Sweets",1,4.5,100.0,28.0
"Pramod Laddu Bhandar",1,4.5,250.0,27.0
"Pramod Laddu Bhandar -Church Road",1,4.5,100.0,15.0
