"restaurant_name","cnt","rating"
"Abid's",1,4.2
"Above & Beyond By Country Express",1,4.3
"Abraco",1,4.0
"ABR's Kitchen",1,4.2
"Ab's",1,4.3
"AB's - Absolute Barbecues",13,3.1
"AB's - Absolute Barbecues",13,3.3
"AB's - Absolute Barbecues",13,3.4
"AB's - Absolute Barbecues",13,3.5
"AB's - Absolute Barbecues",13,3.6
"AB's - Absolute Barbecues",13,3.6
"AB's - Absolute Barbecues",13,3.6
"AB's - Absolute Barbecues",13,3.7
"AB's - Absolute Barbecues",13,3.7
"AB's - Absolute Barbecues",13,3.7
"AB's - Absolute Barbecues",13,3.8
"AB's - Absolute Barbecues",13,3.9
"AB's - Absolute Barbecues",13,4.0
"AB'S Kitchen",1,3.6
"Ab's Potoba",1,4.0
"Absolute Momo",1,4.0
"Absolute Momo Cafe",1,4.2
"Absolute Shawarma",5,3.4
"Absolute Shawarma",5,3.7
"Absolute Shawarma",5,4.0
"Absolute Shawarma",5,4.0
"Absolute Shawarma",5,4.0
"Absolute Tandoor",1,4.2
"Absolute Thai",1,4.2
"Abu Al Baik",1,3.9
"Abul Biryani",1,4.1
"Aburish Restaurant",1,3.8
"Ace Bakers",1,4.0
"ACE Food Zone",1,4.0
"Achal Restaurant Banquet & Cafe",1,3.8
"Achanak Juice",1,4.2
"Achariz Food",1,3.3
"Achayathis Restaurant",1,4.1
"Achija",1,4.1
"Achija Fast Food",1,3.9
"Achman Foods",1,4.2
"Acs -2",1,4.2
"ACS 3",1,4.4
"ACS Chinese Flavour",1,4.0
"AD Momos",2,4.0
"AD Momos",2,4.0
"Ada - E - Haandi",1,4.2
"Ada Sigdi Se",1,4.4
"Adalat Hotel",2,3.9
"Adalat Hotel",2,4.1
"Adam Bakers",1,3.7
"Adam's Kabab Shop",1,3.7
"Adarsh Dhaba",1,3.7
"Adarsh Ji Bhojnalaya And Fast Food",1,3.5
"Adarsh Meat Shop",1,3.6
"Adarsha Hindu Hotel",1,4.2
"Adda",2,4.1
"Adda",2,4.3
"Adda Ghar",1,3.7
"Adda Unplugged",1,4.2
"Addy's Baithak",1,4.2
"Addy's Burgers & Pizza",1,3.5
"Adhikari Chinese Food",1,3.9
"Adhiya Beef Biriyani",2,3.1
"Adhiya Beef Biriyani",2,3.6
"Adi Dada Bhai Restaurant",1,3.3
"Adi Kalpana Pice Hotel",1,3.5
"Adi Sree Hari Mistanna Bhandar",1,4.3
"Adiga's",1,3.7
"Adihaah Dhaba Cafe",1,3.3
"Adihaah Restrocafe",2,3.1
"Adihaah Restrocafe",2,3.6
"Adil Biryani Centre",1,4.1
"Adil Biryani Restaurant",1,4.1
"Adingo",1,4.0
"Adis Cafe",1,4.0
"Adi's Cafe N Dine",1,3.8
"Aditi",1,4.2
"Aditi Baked House",1,4.0
"Aditi Kitchen",1,4.0
"Aditi Nasto & Chinese",1,4.1
"Aditi Restaurant",1,4.1
"Aditri Veg Restaurant",1,4.0
"Aditya Family Restaurant and Garden",1,4.1
"Aditya Foods",1,3.7
"Aditya Mutton Bhakri",1,4.0
"Aditya Restaurant",1,4.1
"Aditya Sweets",1,4.1
"Aditya Tiffin service",1,3.8
"Adya's Multicuisine Restaurant",1,3.6
"Aelicious Cafe",1,3.5
"Aerodine Multicuisine Restaurant",1,3.7
"Aesthetic’s Nutrition - Healthy Food, Simplified",1,4.2
"AFC",2,3.8
"AFC",2,4.1
"AFC - American Fried Chicken",2,4.0
"AFC - American Fried Chicken",2,4.3
"Afc- Arti Food Court",1,4.4
"AFC Restaurant",1,4.1
"Affordabowl",1,3.8
"Afghan Darbar Restaurant",2,4.0
"Afghan Darbar Restaurant",2,4.4
"Afghani Tandoori Hub",1,3.4
"Aflatoon Misal",1,3.3
"Aflatoon Pavbhaji",1,3.2
"Afra Tafri",1,4.0
"Afraa",1,4.1
"Afraa Deli",1,4.2
"Afreen - Dine & Delivery",1,3.9
"Afreen Chicken",1,3.5
"Afroz's Kitchen",1,4.0
"Afsar Bhai Kabab Corner",1,4.3
"After Class Cafe",1,3.5
"Afzal",1,4.1
"Afzal Biryani",1,4.3
"Afzal Restaurant",1,4.0
