"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"5 Shots Bistro Cafe",3.1,100,37,0,0,1,0,0,0,"Coimbatore",1
"5 Shots The Juice Bar",4.1,100,27,0,0,1,0,0,0,"Salem",1
"5 Spice",3.8,100,39,0,0,0,0,0,0,"Mumbai",1
"5 Star Canteen",4.0,150,24,0,1,0,0,0,0,"Goa",1
"5 Star Diamond Classic Pizza",4.1,250,34,0,0,1,0,0,0,"Saharanpur",1
"5 Star Momos",3.7,150,41,0,0,0,0,0,0,"Guwahati",1
"5 Star Pizza",3.6,350,42,0,0,0,0,0,0,"Gorakhpur",1
"50 Ml Bar",4.0,150,34,0,1,0,0,1,0,"Kanpur",1
"50 Shades Of Food",3.6,100,44,0,0,1,0,0,0,"Kolkata",1
"50+ Burger",3.4,150,43,0,0,0,0,0,0,"Chennai",1
"53 Cafe House",4.0,100,33,0,1,1,0,1,0,"Patna",1
"55 Bistro",4.0,150,33,0,1,0,0,1,0,"Nellore",1
"56 Rajwade Cafe & Restaurant",3.7,200,41,0,1,1,0,0,0,"Jabalpur",1
"6 Ballygunge Place",4.3,200,44,0,0,0,0,0,0,"Kolkata",1
"6 Ballygunge Place Take Away",4.4,50,26,0,0,0,0,0,0,"Kolkata",1
"6 Ballygunge Place Takeaway",4.2,100,45,0,1,0,0,0,0,"Kolkata",1
"6 Ballygunge Place Thali",4.2,150,51,0,0,1,0,0,0,"Kolkata",1
"6 One Restaurant",4.0,200,38,0,1,0,0,0,0,"Darbhanga",1
"60 ML",3.8,150,39,0,1,0,0,1,0,"Indore",1
"65 Corner Fast Food",4.1,150,32,0,0,0,0,0,0,"Hyderabad",1
"666 Cafe",3.3,250,33,0,0,0,0,0,0,"Jalandhar",1
"7 Art's Of Swad",4.0,250,21,0,1,0,1,0,0,"Bhavnagar",1
"7 Bakes",4.3,150,37,0,0,1,0,0,0,"Mangalore",1
"7 Cheese Pizza",4.1,200,38,0,0,1,0,0,0,"Dehradun",1
"7 Coffee Beans",4.3,100,20,0,0,0,1,0,0,"Guntur",1
"7 Colour's Kabab Hut",4.0,250,26,0,1,0,0,1,0,"Patna",1
"7 Days",3.5,150,40,0,1,1,0,0,0,"Patna",1
"7 Days Pure Veg Restaurant",3.7,400,46,1,1,1,1,0,0,"Nagpur",1
"7 Degree Lounge",3.9,600,32,0,1,1,0,1,0,"Kanpur",1
"7 Eleven Fried Chicken",4.0,100,46,0,0,1,0,0,0,"Trichy",1
"7 Heaven Restro",4.0,100,37,0,1,0,0,1,0,"Allahabad",1
"7 Sisters",4.1,300,51,0,0,0,0,0,0,"Hyderabad",1
"7 Spice",4.1,350,31,0,0,0,0,0,0,"Mumbai",1
"7 Spicery",4.0,150,38,0,1,0,0,0,0,"Lucknow",1
"7 Spices",4.1,150,24,0,1,0,0,1,0,"Ajmer",1
"7 Spices Restaurant",4.1,250,41,0,1,0,0,0,0,"Kota",1
"7 Star Dhaba",4.1,150,33,0,1,1,0,0,0,"Ajmer",1
"7/12 Fried Ice Cream",3.0,100,59,0,0,0,0,0,0,"Kolkata",1
